transaction_description,amount,date,category
PVR Cinemas,234.63,2022-10-09,Entertainment
Swiggy,1505.06,2022-05-23,Dining
Spotify,658.37,2022-03-31,Entertainment
Apollo Pharmacy,456.47,2022-01-31,Healthcare
Netflix,84.81,2022-08-27,Entertainment
UPI Transfer,84.8,2022-01-28,Others
Google Pay,29.92,2023-10-28,Others
ATM Withdrawal,1005.62,2022-08-14,Others
Unacademy,459.54,2022-10-12,Education
Reliance Fresh,615.63,2023-12-16,Groceries
Practo,10.4,2022-10-12,Healthcare
Mahanagar Gas,1751.78,2022-12-11,Utilities
PVR Cinemas,893.21,2023-01-25,Entertainment
Hotstar,119.34,2022-12-19,Entertainment
Uber,100.34,2023-04-16,Travel
Paytm Recharge,101.31,2023-01-23,Others
Spotify,181.38,2022-10-28,Entertainment
Tata CLiQ,371.96,2022-07-16,Shopping
PVR Cinemas,282.77,2023-11-09,Entertainment
Domino's,172.11,2022-03-23,Dining
Zomato,473.19,2023-01-25,Dining
Air India,75.12,2023-10-13,Travel
Flipkart,172.76,2023-01-15,Shopping
Flipkart,228.14,2023-11-18,Shopping
Uber,304.47,2023-09-16,Travel
Indane Gas,768.97,2022-09-08,Utilities
Water Board,111.37,2023-01-24,Utilities
Indigo Airlines,361.01,2022-08-13,Travel
Amazon,448.75,2022-08-23,Shopping
D-Mart,23.78,2023-02-15,Groceries
Uber,467.67,2022-08-05,Travel
Flipkart,93.48,2023-11-03,Shopping
Vedantu,33.63,2023-10-21,Education
Udemy,1486.84,2022-09-29,Education
Mahanagar Gas,1685.32,2023-07-29,Utilities
PhonePe,826.17,2023-08-22,Others
Fortis Hospital,181.64,2023-02-13,Healthcare
Flipkart,51.39,2022-05-22,Shopping
ATM Withdrawal,576.38,2022-04-04,Others
Big Bazaar,290.05,2022-06-06,Groceries
Water Board,65.08,2023-09-03,Utilities
BookMyShow,341.77,2023-01-26,Entertainment
Unacademy,17.5,2022-09-15,Education
Paytm Recharge,1200.21,2023-11-28,Others
Spotify,149.73,2022-10-01,Entertainment
Amazon,543.13,2022-10-28,Shopping
1mg,186.77,2023-04-10,Healthcare
D-Mart,367.06,2023-05-28,Groceries
Indane Gas,395.61,2022-04-19,Utilities
Indigo Airlines,102.19,2023-09-16,Travel
Swiggy,1746.4,2023-01-18,Dining
Indane Gas,746.12,2023-06-28,Utilities
Nature's Basket,1402.55,2022-11-28,Groceries
Coursera,1126.08,2022-04-25,Education
Myntra,455.53,2022-09-03,Shopping
Reliance Fresh,1274.72,2023-08-04,Groceries
PVR Cinemas,46.33,2023-05-13,Entertainment
Spotify,109.07,2022-05-09,Entertainment
